zoning,features,propertyType,feature_id
Unknown,"{""exteriorType"": ""Wood"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Gas"", ""roofType"": ""Composition Shingle""}",Single Family,282
A,"{""unitCount"": 1}",Single Family,283
Unknown,"{""architectureType"": ""Mobile Home"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Metal Siding"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Manufactured,284
R-5,"{""exteriorType"": ""Wood Shingle"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,285
R1,"{""exteriorType"": ""Brick"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 6}",Single Family,286
Unknown,{},Unknown,287
R5,"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",Condo,288
Unknown,"{""architectureType"": ""Ranch"", ""exteriorType"": ""OTHER"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Wood Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,289
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 5, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,290
R3-1,"{""architectureType"": ""Duplex"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 2}",Duplex-Triplex,291
Unknown,"{""architectureType"": ""Split Entry"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Vinyl"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Block"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,292
R-7,"{""architectureType"": ""Cape Cod"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""foundationType"": ""Block"", ""roofType"": ""Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,293
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,294
Unknown,"{""architectureType"": ""Traditional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,295
Unknown,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 2, ""foundationType"": ""Concrete"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile"", ""unitCount"": 1}",Single Family,296
Unknown,NaN,Condo,297
PD-A,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,298
Unknown,{},Unknown,299
Z236,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,300
NCTH,"{""architectureType"": ""Two Family"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""foundationType"": ""Slab"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 1}",Duplex-Triplex,301
Unknown,"{""floorCount"": 5}",Condo,302
PAD,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Wood"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Gravity"", ""roofType"": ""Other"", ""unitCount"": 1}",Single Family,303
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Duplex-Triplex,304
Unknown,{},Unknown,305
1110,"{""architectureType"": ""Modern"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Built-in"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 15, ""unitCount"": 1}",Single Family,306
R-1:SINGLE FAM-RES,"{""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,307
Unknown,{},Unknown,308
Unknown,{},Unknown,309
PAD,{},Land,310
Unknown,"{""exteriorType"": ""Brick Veneer"", ""garage"": true, ""garageType"": ""Carport"", ""roomCount"": 10, ""unitCount"": 1, ""floorCount"": 1}",Single Family,311
Unknown,NaN,Condo,312
R,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 5, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Gas"", ""roofType"": ""Asphalt"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,313
Unknown,{},Unknown,314
Unknown,"{""floorCount"": 1, ""unitCount"": 1}",Single Family,315
Unknown,{},Unknown,316
Unknown,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 3}",Condo,317
MPR1*,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,318
Unknown,NaN,Single Family,319
Unknown,{},Unknown,320
Unknown,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""heating"": true, ""roomCount"": 5, ""unitCount"": 1}",Single Family,321
Unknown,{},Land,322
RSA5,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Basement"", ""heating"": true, ""roomCount"": 6, ""unitCount"": 1, ""viewType"": ""Average""}",Single Family,323
Unknown,{},Unknown,324
PAD,"{""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 4, ""garageType"": ""Garage"", ""heating"": true, ""pool"": true, ""roofType"": ""Concrete"", ""cooling"": true, ""coolingType"": ""Refrigeration""}",Single Family,325
Unknown,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Retaining Wall"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,326
R1,"{""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached Garage"", ""heating"": true, ""heatingType"": ""Central"", ""pool"": true, ""roofType"": ""Gravel / Rock"", ""unitCount"": 1}",Single Family,327
Unknown,{},Unknown,328
R-6,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Commercial"", ""fireplace"": true, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""unitCount"": 1}",Duplex-Triplex,329
B4N,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Gravel"", ""roomCount"": 4}",Condo,330
Unknown,{},Unknown,331
Unknown,"{""exteriorType"": ""Wood"", ""floorCount"": 1, ""unitCount"": 1}",Single Family,332
Unknown,"{""architectureType"": ""Cape Cod"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Composition"", ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Shingle"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,333
Unknown,{},Unknown,334
Unknown,{},Unknown,335
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,336
R,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,337
MH-1,"{""architectureType"": ""Mobile Home"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Mixed"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Metal"", ""unitCount"": 1}",Manufactured,338
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,339
LAR1,"{""architectureType"": ""Duplex"", ""cooling"": true, ""coolingType"": ""Commercial"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 2}",Duplex-Triplex,340
Unknown,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 2, ""foundationType"": ""Block"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,341
A,"{""garage"": true, ""garageType"": ""Garage"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,342
P-D,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Composition Shingle""}",Single Family,343
Unknown,{},Unknown,344
Unknown,"{""fireplace"": true, ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roofType"": ""Wood Shingle"", ""roomCount"": 4}",Single Family,345
Unknown,{},Unknown,346
Unknown,{},Unknown,347
Unknown,NaN,Single Family,348
Unknown,{},Unknown,349
Unknown,"{""cooling"": true, ""coolingType"": ""Commercial"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,350
Unknown,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Tile""}",Single Family,351
RSA5,"{""architectureType"": ""Condo / Apartment"", ""exteriorType"": ""Brick"", ""floorCount"": 2, ""heating"": true, ""roomCount"": 6, ""unitCount"": 1, ""viewType"": ""Average""}",Single Family,352
R1,"{""architectureType"": ""Split Level"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Prefab"", ""floorCount"": 1, ""foundationType"": ""Footing"", ""garage"": true, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle""}",Single Family,353
Unknown,"{""cooling"": true, ""coolingType"": ""Commercial"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,354
SDSF8000*,"{""architectureType"": ""Conventional"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,355
Unknown,{},Unknown,356
Unknown,"{""cooling"": true, ""fireplace"": true, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Attached Garage"", ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""heating"": true, ""roofType"": ""Composition Shingle""}",Single Family,357
Unknown,{},Unknown,358
Unknown,{},Unknown,359
RS-2,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,360
RS-3,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""pool"": true, ""roofType"": ""Asphalt"", ""roomCount"": 9, ""unitCount"": 1}",Single Family,361
Unknown,"{""exteriorType"": ""Brick"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Steam"", ""roofType"": ""Asphalt"", ""roomCount"": 7, ""unitCount"": 2}",Duplex-Triplex,362
RS-15,"{""architectureType"": ""Split Entry"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""foundationType"": ""Concrete"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle (Not Wood)"", ""unitCount"": 1}",Single Family,363
R1-6,"{""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,364
Unknown,{},Unknown,365
Unknown,"{""floorCount"": 2, ""foundationType"": ""None"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 8}",Single Family,366
Unknown,"{""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,367
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,368
R-1-EA-4,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""pool"": true, ""poolType"": ""Pool and Hot Tub / Spa"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,369
LAR1,"{""architectureType"": ""Conventional"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Floor / Wall"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,370
Unknown,{},Unknown,371
Unknown,NaN,Single Family,372
Unknown,"{""architectureType"": ""Bungalow"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick / Stone"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Detached"", ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,373
R-2A,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,374
ZO01,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 2, ""foundationType"": ""Raised"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 12, ""unitCount"": 1}",Single Family,375
Unknown,{},Unknown,376
Unknown,{},Unknown,377
Unknown,NaN,Single Family,378
Unknown,{},Unknown,379
RA,"{""architectureType"": ""Ranch"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Hot Water"", ""roofType"": ""Asphalt"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,380
R5,"{""cooling"": true, ""coolingType"": ""Evaporative"", ""exteriorType"": ""OTHER"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,381
Unknown,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood Shingle"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 6, ""unitCount"": 1}",Condo,382
Unknown,{},Unknown,383
Unknown,"{""cooling"": true, ""coolingType"": ""Commercial"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,384
Unknown,{},Land,385
Unknown,{},Unknown,386
Unknown,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,387
Unknown,"{""architectureType"": ""Condo / Apartment""}",Condo,388
Unknown,{},Unknown,389
R-6,"{""exteriorType"": ""Wood"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,390
A-C,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Slab"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Carport"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Gravel"", ""unitCount"": 1}",Single Family,391
Unknown,"{""unitCount"": 1}",Single Family,392
R-15,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Retaining Wall"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 6, ""unitCount"": 1}",Single Family,393
Unknown,"{""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""foundationType"": ""OTHER""}",Single Family,394
RS-LD,"{""architectureType"": ""Raised Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""floorCount"": 1, ""foundationType"": ""Pier / Post & Beam"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,395
PUD,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""viewType"": ""Water""}",Single Family,396
KV,{},Land,397
Unknown,NaN,Apartment,398
Unknown,"{""architectureType"": ""Condo / Apartment"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""OTHER"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5}",Condo,399
PUD,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Log"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,400
Unknown,"{""floorCount"": 1, ""roomCount"": 6, ""unitCount"": 1}",Single Family,401
Unknown,{},Unknown,402
Unknown,"{""floorCount"": 1, ""roofType"": ""Aluminum"", ""unitCount"": 1}",Land,403
Unknown,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Asphalt"", ""roomCount"": 6}",Single Family,404
Unknown,{},Unknown,405
RB4,"{""architectureType"": ""Ranch"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""unitCount"": 1}",Single Family,406
Unknown,{},Duplex-Triplex,407
Unknown,{},Apartment,408
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""fireplaceType"": ""Masonry"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""roomCount"": 3, ""unitCount"": 1}",Single Family,409
Unknown,{},Unknown,410
Unknown,{},Apartment,411
PD,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""roofType"": ""Asphalt"", ""roomCount"": 15, ""unitCount"": 1}",Single Family,412
Unknown,{},Single Family,413
Unknown,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Attached"", ""unitCount"": 1}",Single Family,414
Unknown,"{""architectureType"": ""Other"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""floorCount"": 1, ""foundationType"": ""Slab"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 4, ""unitCount"": 1, ""pool"": true}",Condo,415
Unknown,"{""architectureType"": ""Condo / Apartment"", ""unitCount"": 1}",Condo,416
Unknown,"{""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,417
R1,"{""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,418
Unknown,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 1, ""foundationType"": ""Raised"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,419
Unknown,NaN,Land,420
R4-1,"{""floorCount"": 1, ""unitCount"": 1}",Single Family,421
01A,"{""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Vinyl"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 10, ""unitCount"": 1}",Single Family,422
Unknown,{},Unknown,423
Unknown,"{""cooling"": true, ""fireplace"": true, ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""roofType"": ""Composition Shingle"", ""coolingType"": ""Commercial""}",Single Family,424
Unknown,NaN,Single Family,425
Unknown,NaN,Land,426
Unknown,"{""architectureType"": ""Cape Cod"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Garage"", ""unitCount"": 1}",Single Family,427
PD,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,428
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Combination"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Shingle"", ""unitCount"": 1}",Single Family,429
Unknown,{},Unknown,430
Unknown,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Concrete Block"", ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 6}",Single Family,431
Unknown,"{""floorCount"": 1}",Single Family,432
RSFA,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Wood"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Heat Pump"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,433
